USA,미국 본토
ETHIOPIA,에티오피아
SOMALIA,소말리아
SOMALILAND,소말릴란드
DJIBOUTI,지부티
KENYA,케냐
TANZANIA,탄자니아
UGANDA,우간다
BURUNDI,부룬디
MOZAMBIQUE,모잠비크
ZAMBIA,잠비아
MADAGASCAR,마다가스카르
REUNION,프랑스령 레위니옹
MAYOTTE,마요트
ZIMBABWE,짐바브웨
NAMIBIA,나미비아
MALAWI,말라위
LESOTHO,레소토
BOTSWANA,보츠와나
ESWATINI,에스와티니
COMOROS,코모로
SOUTH_AFRICA,남아프리카 공화국
SAINT_HELENA,세인트헬레나
TRISTAN_DA_CUNHA,트리스탄다쿠냐
ERITREA,에리트레아
ARUBA,네덜란드령 아루바
FAROE_ISLANDS,덴마크령 페로 제도
GREENLAND,그린란드
GREECE,그리스
NETHERLANDS,네덜란드
BELGIUM,벨기에
FRANCE,프랑스
SPAIN,스페인
GIBRALTAR,영국령 지브롤터
PORTUGAL,포르투갈
LUXEMBOURG,룩셈부르크
IRELAND,아일랜드
ICELAND,아이슬란드
ALBANIA,알바니아
MALTA,몰타
CYPRUS,키프로스
FINLAND,핀란드
ALAND_ISLANDS,올란드 제도
BULGARIA,불가리아
HUNGARY,헝가리
LITHUANIA,리투아니아
LATVIA,라트비아
ESTONIA,에스토니아
MOLDOVA,몰도바
TRANSNISTRIA,트란스니스트리아
ARMENIA,아르메니아
BELARUS,벨라루스
ANDORRA,안도라
MONACO,모나코
SAN_MARINO,산마리노
UKRAINE,우크라이나
SERBIA,세르비아
MONTENEGRO,몬테네그로
KOSOVO,코소보
CROATIA,크로아티아
SLOVENIA,슬로베니아
BOSNIA_AND_HERZEGOVINA,보스니아 헤르체고비나
NORTH_MACEDONIA,북마케도니아
ITALY,이탈리아
VATICAN_CITY,바티칸
ROMANIA,루마니아
SWITZERLAND,스위스
CZECH_REPUBLIC,체코
SLOVAKIA,슬로바키아
LIECHTENSTEIN,리히텐슈타인
AUSTRIA,오스트리아
UNITED_KINGDOM,영국 본토
GUERNSEY,영국령 건지 섬
JERSEY,저지 섬
ISLE_OF_MAN,맨 섬
DENMARK,덴마크
SWEDEN,스웨덴
NORWAY,노르웨이
SVALBARD,노르웨이령 스발바르 제도
JAN_MAYEN,얀마옌 섬
POLAND,폴란드
GERMANY,독일
FALKLAND_ISLANDS,영국령 포클랜드 제도
SOUTH_GEORGIA_AND_SOUTH_SANDWICH_ISLANDS,사우스조지아 사우스샌드위치 제도
BELIZE,벨리즈
GUATEMALA,과테말라
EL_SALVADOR,엘살바도르
HONDURAS,온두라스
NICARAGUA,니카라과
COSTA_RICA,코스타리카
PANAMA,파나마
SAINT_PIERRE_AND_MIQUELON,프랑스령 생피에르 미클롱
HAITI,아이티
PERU,페루
MEXICO,멕시코
CUBA,쿠바
ARGENTINA,아르헨티나
BRAZIL,브라질
CHILE,칠레
COLOMBIA,콜롬비아
VENEZUELA,베네수엘라
GUADELOUPE,프랑스령 과들루프
SAINT_MARTIN,생마르탱
SAINT_BARTHELEMY,생바르텔레미
BOLIVIA,볼리비아
GUYANA,가이아나
ECUADOR,에콰도르
FRENCH_GUIANA,프랑스령 기아나
PARAGUAY,파라과이
MARTINIQUE,프랑스령 마르티니크
SURINAME,수리남
URUGUAY,우루과이
SINT_EUSTATIUS,네덜란드령 신트외스타티위스
SABA,사바
BONAIRE,보네르
CURACAO,퀴라소
MALAYSIA,말레이시아
AUSTRALIA,호주
COCOS_ISLANDS,호주령 코코스 제도
CHRISTMAS_ISLAND,크리스마스섬
INDONESIA,인도네시아
PHILIPPINES,필리핀
NEW_ZEALAND,뉴질랜드
PITCAIRN_ISLANDS,영국령 핏케언 제도
SINGAPORE,싱가포르
THAILAND,태국
EAST_TIMOR,동티모르
AUSTRALIAN_ANTARCTIC_TERRITORY,호주령 남극 지역
NORFOLK_ISLAND,노퍽섬
BRUNEI,브루나이
NAURU,나우루
PAPUA_NEW_GUINEA,파푸아뉴기니
TONGA,통가
SOLOMON_ISLANDS,솔로몬 제도
VANUATU,바누아투
FIJI,피지
PALAU,팔라우
WALLIS_AND_FUTUNA,프랑스령 왈리스 푸투나
COOK_ISLANDS,뉴질랜드령 쿡 제도는
NIUE,니우에
SAMOA,사모아
KIRIBATI,키리바시
NEW_CALEDONIA,프랑스령 누벨칼레도니
TUVALU,투발루
FRENCH_POLYNESIA,프랑스령 폴리네시아
TOKELAU,뉴질랜드령 토켈라우
MICRONESIA,미크로네시아 연방
MARSHALL_ISLANDS,마셜 제도
RUSSIA,러시아
KAZAKHSTAN,카자흐스탄
ABKHAZIA,압하지야
SOUTH_OSSETIA,남오세티야
JAPAN,일본
SOUTH_KOREA,대한민국
VIETNAM,베트남
NORTH_KOREA,조선민주주의인민공화국
HONG_KONG,홍콩
MACAU,마카오
CAMBODIA,캄보디아
LAOS,라오스
CHINA,중국
BANGLADESH,방글라데시
TAIWAN,대만
TURKEY,튀르키예
NORTHERN_CYPRUS,북키프로스
INDIA,인도
PAKISTAN,파키스탄
AFGHANISTAN,아프가니스탄
SRI_LANKA,스리랑카
MYANMAR,미얀마
MALDIVES,몰디브
LEBANON,레바논
JORDAN,요르단
SYRIA,시리아
IRAQ,이락
KUWAIT,쿠웨이트
SAUDI_ARABIA,사우디아라비아
YEMEN,예멘
OMAN,오만
PALESTINE,팔레스타인
UAE,아랍에미리트
ISRAEL,이스라엘
BAHRAIN,바레인
QATAR,카타르
BHUTAN,부탄
MONGOLIA,몽골
NEPAL,네팔
IRAN,이란
TAJIKISTAN,타지키스탄
TURKMENISTAN,투르크메니스탄
AZERBAIJAN,아제르바이잔
GEORGIA,조지아
KYRGYZSTAN,키르기스스탄
UZBEKISTAN,우즈베키스탄
