NUM_0,"0"
NATN_CODE_P1,"国番号1番を選択されました。米国本土は1 201から989、米領バージン諸島は1 340、北マリアナ諸島は1 670、グアムは1 671, 米領サモアは1 684、プエルトリコは1 787または939、カナダ은1 204および226から942、英領バミューダは1 441、アンギラは1 264、英領バージン諸島は1 284、ケイマン諸島は1 345、タークス・カイコス諸島は1 649、モンセラットは1 664、バハマは1 242、バルバドスは1 246、アンティグア・バーブーダは1 268、グレナダは1 473、蘭領シント・マールテンは1 721、セントルシアは1 758、ドミニカ連邦は1 767、セントビンセント・グレナ디ーンは1 784、トリニダード・トバゴは1 868、セントクリストファー・ネイビスは1 869、ジャマイカは1 876、ドミニカ共和国は1 809, 829または849です。もう一度聞くには9番、前のページに戻るには0番を押してください。"
NATN_CODE_P2,"国番号2番を選択されました。エジプトは20、南スーダンは211、モロッコおよび西サハラは212、アルジェリアは213、チュニジアは216、リビアは218、ガンビアは220、セネガルは221、モーリタニアは222、マリは223、ギニアは224、コートジボワールは225、ブルキナファソは226、ニジェールは227、トーゴは228、ベナンは229、モーリシャスは230、リベリアは231、シエラレオネは232、ガーナは233、ナイジェリアは234、チャドは235、中央アフリカ共和国は236、カメルーンは237、カーボベルデは238、サントメ・プリンシペは239、赤道ギニアは240、ガボンは241、コンゴ共和国は242、コンゴ民主共和国は243、アンゴラは244、ギニアビサウは245、英領インド洋地域は246、アセンション島は247、セーシェルは248、スーダンは249、ルワンダは250、エチオピアは251、ソマリアおよびソマリランドは252、ジブチは253、ケニャは254、タンザニアは255、ウガンダは256、ブルンジは257、モザンビークは258、ザンビアは260、マダガスカルは261、仏領レユニオンおよびマヨットは262、ジンバブエは263、ナミビアは264、マラウイは265、レソトは266、ボツワナは267、エスワティニは268、コモロは269、南アフリカ共和国は27、セントヘレナおよびトリスタンダクーニャは290、エリトリアは291、蘭領アルバは297、デンマーク領フェロー諸島は298、グリーンランドは299です。もう一度聞くには9番、前のページに戻るには0番を押してください。"
NATN_CODE_P3,"国番号3番を選択されました。ギリシャは30、オランダは31、ベルギーは32、フランスは33、スペインは34、英領ジブラルタルは350、ポルトガルは351、ルクセンブルクは352、アイルランドは353、アイスランドは354、アルバニアは355、マルタは356、キプロスは357、フィンランドは358、オーランド諸島は358 18、ブルガリアは359、ハンガリーは36、リトアニアは370、ラトビアは371、エストニアは372、モルドバおよびトランスニストリアは373、アルメニアは374、ベラルーシは375、アンドラは376、モナコは377、サンマリノは378、ウクライナは380、セルビアは381、モンテネグロは382、コソボは383、クロアチアは385、スロベニアは386、ボスニア・ヘルツェゴビナは387、北マケドニアは389、イタリアは39、バチカンは39 06 698です。ルーマニアは40、スイスは41、チェコは420、スロバキアは421、リヒテンシュタインは423、オーストリアは43、イギリス本土は44、英領ガーンジー島は44 1481、ジャージー島は44 1534、マン島は44 1624、デンマークは45、スウェーデンは46、ノルウェーは47、ノルウェー領スヴァールバル諸島およびヤンマイエン島は47 79、ポーランドは48、ドイツは49です。もう一度聞くには9番、前のページに戻るには0番を押してください。"
NATN_CODE_P5,"国番号5番を選択されました。英領フォークランド諸島およびサウスジョージア・サウスサンドウィッチ諸島は500、ベリーズは501、グアテマラは502、エルサルバドルは503、ホンジュラスは504、ニカラグアは505、コスタリカは506、パナマは507、仏領サンピエール島・ミクロン島は508、ハイチは509、ペルーは51、メキシコは52、キューバは53、アルゼンチンは54、ブラジルは55、チリは56、コロンビアは57、ベネズエラは58、仏領グアドループおよびサン・マルタン、サン・バルテルミーは590、ボ리비아は591、ガイアナは592、エクアドルは593、仏領ギアナは594、パラグアイは595、仏領マルティニークは596、スリナムは597、ウルグアイは598、蘭領シント・ユースタティウスは599 3、サバは599 4、ボネールは599 7、キュラソーは599 9です。もう一度聞くには9番、前のページに戻るには0番を押してください。"
NATN_CODE_P6,"国番号6番を選択されました。マレーシアは60、オーストラリアは61、豪領ココス諸島は61 8 9162、クリスマス島は61 8 9164、インドネシアは62、フィリピンは63、ニュージーランドおよび英領ピトケアン諸島は64、シンガポールは65、タイは66、東ティモールは670、豪領南極地域は672 1、ノーフォーク島は672 3、ブルネイは673、ナウルは674、パプアニューギニアは675、トンガは676、ソロモン諸島は677、バヌアツは678、フィジーは679、パラオは680、仏領ウォリス・フツナは681、ニュージーランド領クック諸島は682、ニウエは683、サモアは685、キリバスは686、仏領ニューカレドニアは687、ツバルは688、仏領ポリネシアは689、ニュージーランド領トケラウは690、ミクロネシア連邦は691、マーシャル諸島は692です。もう一度聞くには9番、前のページに戻る에는0番を押してください。"
NATN_CODE_P7,"国番号7番を選択されました。ロシアは7、カザフスタンは7 6または7 7, アブハジアは固定電話7 840または携帯電話7 940、南オセチアは固定電話7 850または携帯電話7 929です。もう一度聞くには9番、前のページに戻るには0番を押してください。"
NATN_CODE_P8,"国番号8番を選択されました。日本は81、大韓民国は82、ベトナムは84、北朝鮮は850、香港は852、マカオは853、カンボジアは855、ラオスは856、中国は86、バングラデシュは880、台湾は886です。もう一度聞くには9番、前のページに戻るには0番を押してください。"
NATN_CODE_P9,"国番号9番を選択されました。トルコは90、北キプロスは90 533または548、インドは91、パキスタンは92、アフガニスタンは93、スリランカは94、ミャンマーは95、モル디ブは960、レバノンは961、ヨルダンは962、シリアは963、イラクは964、クウェートは965、サウジアラビアは966、イエメンは967、オマーンは968、パレスチナは970、アラブ首長国連邦は971、イスラエルは972、バーレーンは973、カタールは974、ブータンは975、モンゴルは976、ネパールは977、イランは98、タジキスタンは992、トルクメニスタンは993、アゼバイジャンは994、ジョージアは995、南オセチアは995 34、キルギスは996、ウズベキスタンは998です。もう一度聞くには9番、前のページに戻るには0番を押してください。"
NATN_SELECTED,"{nation}として確認されました。ありがとうございます。"
NATN_SELECTED_S1,"として確認されました。ありがとうございます。"
IDENTITY_REQ,"非公式外交のための実務担当者の方は1番、公式外交のための実務担当者の方は2番、国家的な外交権ではなく地方政府所属で公開外交のための実務担当者の方は3番、外交権のある中央政府機関の高官の方は4番、中央政府機関の閣僚・次官級の方は5番、それ以上の方は6番を押してください。"
IDENTITY_SELECTED,"{nation}の{rank_type}タイプでいらっしゃいますね？"
IDENTITY_SELECTED_S1,"の"
IDENTITY_SELECTED_S2,"タイプでいらっしゃいますね？"
TARGET_SETTING,"緊急事態により大統領との直接通話を希望される場合は1番、緊急性が低い、または相談員との通話を希望される場合は2番、その他の問い合わせは3番を押してください。"
HOTLINE_AUTH_REQ,"続行するには直通回線コードが必要です。6桁の直通回線コードを入力し、最後にシャープを押してください。"
HOTLINE_AUTH_FAIL,"入力されたコードは正しくないか、権限がありません。直通回線コードを再入力してください。やり直す場合は1番、メインメニューに戻る場合は0番を押してください。"
HOTLINE_AUTH_SUCC,"お待ちしておりました。政府関係者におつなぎしますので、少々お待ちください。"
HOTLINE_ABSENCE,"申し訳ございません。現在、担当者が不在にしております。通話を予約する場合は1番、待機不可能な緊急事態がある場合は2番を押してください。"
HOTLINE_RESERVE,"予約されました。現在の時刻は{now}、{res_time}に通話が予約されました。"
HOTLINE_RESERVE_S1,"予約されました。現在の時刻は"
HOTLINE_RESERVE_S2,"に通話が予約されました。"
HOTLINE_EMERGENCY,"事態が解決できるよう全力でサポートいたします。緊急事態の性質を選択してください。経済危機は1番、自然災害は2番、軍事・安保上の危険は3番を押してください。"
MILITARY_RISK,"軍事的危険の性質を選択してください。テロ情報は1番、軍事衝突の兆候は2番、局地的な騒乱は3番、宣戦布告は4番、核関連の緊急事態は5番を押してください。"
NUCLEAR_EMERGENCY,"核関連の緊急事態は非常に重大な問題です。ミスや技術的問題によるミサイル迎撃の支援が必要な場合は1番、原子力発電所の異常および破壊の恐れがある場合は2番を押してください。"
INTERCEPT_REQ,"アメリカ国防総省を通じて、アメリカ空軍の特別迎撃任務を要請できます。任務要請には「軍事行動要請特別権限コード」が必要です。準備ができたら1番、メインメニューは0番を押してください。"
MIL_CODE_ENTRY,"続行するには、4桁の軍事行動要請特別権限コードを入力し、最後にシャープを押してください。"
MIL_CODE_CONFIRM_1,"入力されたコードは{action_desc}のためのコードです。続行しますか？ はいの場合は1番、いいえの場合は2番を押してください。"
MIL_CODE_CONFIRM_1_S1,"入力されたコードは"
MIL_CODE_CONFIRM_1_S2,"のためのコードです。続行しますか？ はいの場合は1番、いいえの場合は2番を押してください。"
MIL_CODE_CONFIRM_2,"本当に続行しますか？ 一度遂行された任務は取り消すことができません。続行するには1番、中止するには2番を押してください。"
MIL_CODE_CANCEL,"軍事行動の要請が中断されました。最初からやり直してください。"
MIL_CODE_FAIL,"入力されたコードは正しくありません。やり直す場合は1番、メインメニューに戻る場合は0番を押してください。"
MIL_ACTION_START,"確認しました。入力されたコードがアメリカ国防総省に伝達され、特別迎撃任務の遂行が決定されました。ご協力ありがとうございます。"
OPERATOR_CONNECT,"相談員におつなぎします。少々お待ちください。あなたの待機番号は{wait_num}番、予想待ち時間は{wait_min}分です。"
OPERATOR_CONNECT_S1,"相談員におつなぎします。少々お待ちください。あなたの待機番号は"
OPERATOR_CONNECT_S2,"番、予想待ち時間は"
OPERATOR_CONNECT_S3,"分です。"
TRAFFIC_OVERLOAD,"現在、通話量が異常に増加しており、待ち時間が長くなっています。このまま待機する場合は1番、メインメニューは0番を押してください。"
MISC_INQUIRY,"貿易協定については1番、非核化政策関連は2番、直通認証コードに関する問い合わせは3番を押してください。"
NUCLEAR_PROG,"核兵器について調べるには1番、アメリカが使用可能な武器については2番を押してください。"
NUCLEAR_LEARN,"私たちは常に平和を維持する方法を模索しています。主要国のミサイルについて調べるには1番を押してください。詳細はアメリカ国際開発庁(USAID)を確認してください。"
MISSILE_LIST_REQ,"ロシアは1番、中国は2番、インドは3番、韓国は4番、北朝鮮は5番、日本は6番を押してください。"
MISSILE_LIST_NK,"朝鮮民主主義人民共和国のミサイルには、火星11、火星5、火星6、火星7、北極星2、矢2、火星10、大陸間弾道ミサイル火星20などがあります。"
US_WEAPONS,"攻撃用兵器は1番、迎撃などの防衛用兵器は2番を押してください。"
DEFENSE_WEAPONS,"防衛兵器の中には、弾道ミサイルを迎撃できる戦闘機があります。ミサイル威力コードは1番、迎撃方式コードは2番を押してください。"
POWER_CODE_REQ,"低速弾道ミサイルなら1番、高速弾道ミサイルなら2番を押してください。"
POWER_CODE_LOW,"低速弾道ミサイルに対する軍事行動要請特別権限コードの前2桁は{code}です。"
POWER_CODE_LOW_S1,"低속弾道ミサイルに対する軍事行動要請特別権限コードの前2桁は"
POWER_CODE_LOW_S2,"です。"
POWER_CODE_HIGH,"高速弾道ミサイルに対する軍事行動要請特別権限コードの前2桁は{code}です。"
POWER_CODE_HIGH_S1,"高速弾道ミサイルに対する軍事行動要請特別権限コードの前2桁は"
POWER_CODE_HIGH_S2,"です。"
INTERCEPT_METHOD,"北半球ミサイル（X0方式）は1番、南半球ミサイル（Y0方式）は2番を押してください。"
INTERCEPT_CODE_X0,"X0迎撃方式に対する特別権限コードの後ろ2桁は{code}です。"
INTERCEPT_CODE_X0_S1,"X0迎撃方式に対する特別権限コードの後ろ2桁は"
INTERCEPT_CODE_X0_S2,"です。"
INTERCEPT_CODE_Y0,"Y0迎撃方式に対する特別権限コードの後ろ2桁は{code}です。"
INTERCEPT_CODE_Y0_S1,"Y0迎撃方式に対する特別権限コードの後ろ2桁は"
INTERCEPT_CODE_Y0_S2,"です。"
CODE_LOST_REQ,"認証コードの新規申請は1番、既存コードの確認は2番を押してください。"
BOT_CHECK_REQ,"ロボットでないことを確認する必要があります。次に読み上げるコードを入力してください。{bot_code}"
BOT_CHECK_REQ_S1,"ロボットでないことを確認する必要があります。次に読み上げるコードを入力してください。"
BOT_CHECK_FAIL,"コードが正しくありません。やり直してください。"
CODE_ISSUE_SUCC,"直通回線コードの申請ありがとうございます。あなたのコードは{new_code}です。"
CODE_ISSUE_SUCC_S1,"直通回線コードの申請ありがとうございます。あなたのコードは"
CODE_ISSUE_SUCC_S2,"です。"
ERROR_404,"問題が発生しました。このページは存在しません。メインメニューに戻るには0番を押してください。"
